teu_count,train_length,total_distance_trip,departure_delay,distance_between_control_stations,weight_per_length_of_train,weight_per_wagon_of_train,arrival_delay
60,550,650,30,70,2.2,80.0,30
50,500,700,35,75,2.2,78.6,35
40,540,750,40,80,1.9,87.5,80
48,666,513,111,682,2.2,81.3,118
34,424,1140,760,749,2.8,80.3,700
39,548,1102,397,531,2.4,130.5,409
88,517,1242,-14,782,1.2,39.9,147
87,717,251,438,294,2.0,144.2,429
26,170,688,593,464,3.8,20.3,561
52,556,926,804,41,2.6,104.1,819
62,338,1402,-193,647,6.3,93.1,71
66,533,406,386,549,3.8,58.3,371
50,148,1349,-96,708,11.2,118.9,73
38,617,885,845,42,1.4,32.2,839
53,187,1195,208,164,6.5,202.5,233
17,175,392,-121,332,12.9,90.6,-80
45,369,698,-30,660,3.8,58.3,37
93,234,1275,121,384,6.0,107.5,128
49,619,642,57,423,1.2,29.0,123
18,654,570,-140,608,1.8,39.8,-52
6,571,1182,-174,311,1.7,163.0,0
83,112,438,-133,511,15.2,89.6,-17
4,253,743,498,315,3.9,33.0,459
58,506,1386,-50,434,1.3,42.2,56
66,327,396,198,327,1.2,14.0,297
10,683,891,487,171,1.7,47.0,472
2,521,1441,-53,61,0.7,13.0,-115
3,315,411,528,425,3.9,94.1,426
81,626,1062,567,545,2.6,164.9,733
72,182,1143,911,53,6.3,67.4,862
66,227,868,31,158,3.1,102.1,92
96,622,617,259,790,3.6,90.0,276
77,220,981,-217,558,6.2,90.3,102
51,631,371,622,436,1.6,42.9,636
63,306,932,655,169,6.7,171.6,732
78,267,1449,833,531,4.8,85.5,821
20,496,867,690,717,1.9,84.9,636
27,608,981,-2,570,1.5,35.0,113
20,171,272,870,537,7.6,99.5,747
53,130,1101,622,480,10.3,83.8,699
68,543,426,364,191,2.2,50.3,333
20,126,273,115,34,10.3,117.5,161
79,574,1294,226,90,2.2,46.1,276
14,292,766,782,793,5.9,108.5,721
46,632,494,44,294,2.0,79.1,0
65,190,107,-93,46,8.1,119.0,-52
54,408,481,-244,189,3.3,103.4,-139
42,216,1055,444,485,2.2,24.1,445
80,454,1172,50,481,4.9,66.0,111
13,224,120,-35,190,9.2,89.7,-56
5,278,888,435,628,3.4,29.8,307
21,103,1173,44,422,3.6,33.7,127
67,656,213,587,416,1.6,105.0,650
94,476,99,423,48,4.0,104.5,385
98,641,401,315,3,0.5,12.7,262
29,552,637,670,206,2.9,52.2,610
2,237,739,588,22,6.3,214.4,558
50,218,1011,126,584,6.7,47.3,110
29,699,1078,890,773,2.2,85.0,741
21,623,225,157,353,2.0,64.1,100
45,678,508,469,541,2.3,95.7,477
67,248,410,-228,76,7.0,91.3,-136
65,295,1328,487,462,3.8,37.2,480
74,134,210,-73,347,2.4,9.2,-85
97,459,660,461,180,3.2,148.2,488
86,260,1441,-58,493,5.5,203.3,85
5,146,215,-93,621,6.4,31.2,-10
6,611,207,487,297,1.8,109.3,350
52,287,293,-15,197,4.7,58.0,-9
58,582,724,200,423,0.9,57.7,152
99,603,806,121,779,1.5,49.0,143
81,462,600,41,184,1.4,49.7,38
30,600,349,510,657,2.9,116.6,458
95,174,801,425,283,12.4,61.9,396
83,272,565,791,85,3.0,81.9,727
73,482,1377,137,593,1.9,26.5,227
89,662,716,599,694,0.6,52.6,597
92,580,777,351,760,1.5,123.1,414
58,100,1208,687,699,17.7,52.1,683
77,584,269,115,638,3.2,62.5,86
41,688,737,20,604,2.0,88.0,54
100,293,1405,-221,149,1.5,14.7,0
4,123,966,-65,511,14.3,195.3,83
45,367,1142,796,526,2.0,74.4,736
23,273,1045,549,348,3.4,31.1,617
39,587,1349,-219,429,0.8,30.9,45
55,167,1390,589,138,2.1,17.8,731
62,294,141,111,702,1.5,18.6,275
58,288,1137,289,445,7.9,175.2,337
80,189,1402,269,611,11.7,246.0,310
20,104,1393,362,70,6.8,87.9,334
75,610,479,430,583,2.4,112.3,443
98,695,1186,225,599,3.0,84.5,228
68,111,253,279,543,5.7,45.3,251
2,440,739,568,523,3.7,48.3,511
14,351,530,512,682,1.0,12.4,460
4,505,238,-211,702,3.3,109.7,-26
91,368,334,730,602,1.0,62.5,824
37,245,1129,233,104,1.7,25.4,206
82,380,827,555,274,1.2,58.4,587
